"Edit Shipping Address","Editer l'adresse de livraison"
"Edit Billing Address","Modifier l’Adresse de Facturation"
"Edit Payment Method","Modifier le Mode de Paiement"
"Billing address associated with this payment method:","Adresse de Facturation associée à ce mode de paiement:"
"This transaction was cancelled. Please try again.","La transaction a été annulée, vous pouvez la réessayer."
"This transaction was declined. Please try again using a different payment method.","La transaction est refusée, veuillez essayer d'utiliser un autre mode de paiement."
"or continue with Standard Checkout","ou continuer avec le Checkout Standard"
"click here to display the categories","cliquez ici pour afficher les catégories"
"No Simulation","Aucune simulation"
"Authorization soft decline","Refus court de l'autorisation"
"Authorization hard decline","Refus long de l'autorisation"
"Authorization timed out","Autorisation expirée"
"Capture declined","Saisie rejetée"
"Capture pending","Saisie en attente"
"Refund declined","Remboursement refusé"
"Synchronous","Synchrone"
"Asynchronous","Asynchrone"
"Synchronous if Possible","Synchrone si possible"
"Gold","Doré"
"Light Gray","Gris clair"
"Dark Gray","Gris foncé"
"Small","Petit"
"Medium","Moyen"
"Large","Grand"
"Extra Large","Très grand"
"Login with Amazon / Amazon Pay","Connectez-vous avec Amazon / Amazon Pay"
"Login / Pay","Connectez-vous / Payez"
"Amazon Pay Logo","Logo Amazon Pay"
"Charge when order is shipped","Facturer lorsque la commande est expédiée"
"Charge when order is placed","Facturer lorsque la commande est passée"
"Euro Region","Région Euro"
"United Kingdom","Royaume-Uni"
"United States","États-Unis"
"Japan","Japon"
"Data Polling via Cron Job","Analyse des données via les tâches Cron"
"Instant Payment Notifications","Notifications de paiement instantané"
"Amazon Pay","Amazon Pay"
"General","Général"
"Credentials","Informations d'identification"
"Merchant Id","ID marchand"
"Access Key Id","ID de clé d'accès"
"Secret Access Key","Clé d'accès secrète"
"Client Id","Identifiant client"
"Client Secret","Secret du client"
"Credentials JSON","Informations d'identification JSON"
"Payment Region","Région de paiement"
"Sandbox","Environnement test"
"Allowed Javascript Origins","OOrigines JavaScript autorisées"
"Allowed Return URLs","URL de renvoi autorisées"
"Options","Options"
"Amazon Pay","Activer Amazon Pay"
"Enable Login with Amazon","Activer Connectez-vous avec Amazon"
"Payment","Paiement"
"Authorization Mode","Mode d'autorisation"
"Update Mechanism","Mettre à jour le mécanisme"
"Amazon Pay button is visible on Product Page","Le bouton Amazon Pay est visible sur la page du produit"
"Advanced","Avancé"
"Frontend","Avant"
"Button Display Language","Langue d'affichage du bouton"
"Controls button and widget language. The default is your shop's locale. Available options can be found <a href=""https://payments.amazon.co.uk/developer/documentation/lpwa/201953980#ENTER_LANGUAGE_PARAMETER"">here</a>.","Contrôle la langue du bouton et du widget. Il s'agit par défaut de la langue du pays de votre site. Les options disponibles se trouvent <a href=""https://payments.amazon.co.uk/developer/documentation/lpwa/201953980#ENTER_LANGUAGE_PARAMETER"">ici</a>."
"Button Color","Couleur du bouton"
"Button Size","Taille du bouton"
"Sales Options","Options de vente"
"New Order Status","Nouvel état de la commande"
"Sales Exclusions","Exclusions de vente"
"Is Packing Stations Terms Validation Enabled","La validation des termes pour les lieux de conditionnement est-elle activée"
"Packing Stations Terms","Termes pour les lieux de conditionnement"
"A comma-separated list of case-insensitive terms which will be used to check whether a Customer Address is a locker or packing station.","Liste séparée par des virgules de termes ne tenant pas compte des majuscules et des minuscules, qui sera utilisée pour vérifier si l'adresse d'un client est un casier ou un lieu de conditionnement."
"Excluded Categories","Catégories exclues"
"The ""Amazon Pay"" button will not be available for products of the selected categories.","Le bouton Amazon Pay ne sera pas disponible pour les produits des catégories sélectionnées."
"Developer Options","Options de développeur"
"Logging","Journalisation"
"Allowed IPs","IP autorisées"
"Comma separated. The ""Login with Amazon"" and ""Amazon Pay"" buttons will <em>only</em> be rendered for clients having the above IPs.
                            If the field is empty, the buttons will be visible to all clients.","Séparée par des virgules. Les boutons Connectez-vous avec Amazon et Amazon Pay seront intégrés <em>uniquement</em> pour les clients aux IP ci-dessus.
                            Si le champ est vide, les boutons seront visibles par tous les clients."
"Module version","Version du module"
"--","--"
"Amazon Pay button in minicart","Bouton Amazon Pay dans le mini-panier"
"The base currency set for your store isn't supported. For more information, see Amazon Pay for Magento 2.","La devise de base définie pour votre boutique n'est pas prise en charge. Pour plus d'informations, consultez Amazon Pay pour Magento 2."
"You'll be connecting/registering a US account based on your display currency of your store scope. For more information, see Amazon Pay for Magento 2.","Vous procéderez à l'enregistrement d'un compte %1 selon la devise de base de votre boutique (%2)."
"Start account connection/registration","Démarrer la connexion/l'enregistrement du compte"
"My account is ready, I need to connect it to Magento","Mon compte est prêt, j'ai besoin de le connecter à Magento"
"or","ou"
"I've already set up Amazon Pay with Magento and I want to edit my configuration.","J'ai déjà configuré le service Amazon Pay, je souhaite modifier mes paramètres"
"Back to account connection/registration","Retour à la connexion/l’enregistrement du compte"
"Updating your configuration with new keys...","Mise à jour de votre configuration avec de nouvelles clés..."
"For easy setup and automatic transfer of your keys and IDs from your Amazon Pay merchant account to Magento, turn on Use Secure URLs in Admin under General > Web > Base URLs (secure).","Pour faciliter la configuration et le transfert automatique de vos clés et identifiants de votre compte marchand Amazon Payments vers Magento, activez Use Secure URLs in Admin (Utiliser des URL sécurisées dans Admin) sous Général > Web > Base URLs (secure) (URL de base sécurisées)."
"Paste JSON credentials here","Collez les informations d'identification JSON ici"
"Save Credentials","Enregistrer les informations d'identification"
"Valid JSON credentials are required.","Des informations d'identification JSON valides sont requises."
"Action unavailable","Action non disponible"
"An error occurred while matching your Amazon account with your store account. ","Une erreur s'est produite lors de l’association de votre compte Amazon à votre compte de boutique. "
"A shop account for this email address already exists. Please enter your shop accounts password to log in without leaving the shop.","Un compte pour cette boutique existe déjà avec cette adresse e-mail. Saisissez le mot de passe du compte de cette boutique afin de vous connecter sans quitter la boutique."
"Login with Amazon","Connectez-vous avec Amazon"
"With Amazon Pay and Amazon Sign-in, you can easily sign-in and use the shipping and payment information stored in your Amazon account to place an order on this shop.","Amazon Pay et Identifiez-vous avec Amazon vous permet d'utiliser les informations de paiement et d'expédition stockées dans votre compte Amazon pour passer une commande sur ce site Web."
"Securely login into our website using your existing Amazon details.","Connectez-vous en toute sécurité à notre site Web à l'aide de vos identifiants Amazon existants."
"Welcome back!","Bienvenue!"
"Continue as Guest","Continuer en tant qu'invité"
"the email address for your Amazon account is invalid","L'adresse e-mail de votre compte Amazon n'est pas valide."
"* Required Fields","* Champs requis"
"Password","Mot de passe"
"Ok","OK"
"Forgot Your Password?","Vous avez oublié votre mot de passe?"
"Login with Amazon available in authentication popup","Connectez-vous avec Amazon disponible dans la fenêtre pop-up d'authentification"
"You will be redirected shortly...","Vous allez être automatiquement redirigé..."
"If you are not redirected automatically, try refreshing the page, or return to your cart and use another payment method.","Si vous n’êtes pas automatiquement redirigé, veuillez rafraîchir la page ou veuillez retourner à votre panier et sélectionner une autre méthode de paiement."
"Amazon authorize invalid state : %1 with reason %2","État imprévu pour l'autorisation d'Amazon Pay. État: %1; code du motif: %2"
"Amazon capture declined : %1","Amazon Pay a rejeté la saisie. Code du motif: %1"
"Amazon capture invalid state : %1 with reason %2","État imprévu pour la saisie d'Amazon Pay. État: %1; code du motif: %2"
"Amazon refund invalid state : %1 with reason %2","État imprévu pour le remboursement d'Amazon Pay. État: %1; code du motif: %2"
"The store doesn't support the country that was entered. To review allowed countries, go to General > General > Allow Countries list. Enter a supported country and try again. ","La boutique ne prend pas en charge le pays saisi. Pour connaître les pays autorisés, rendez-vous sur Général > Général > Allow Countries list (Liste des pays autorisés). Saisissez un pays pris en charge, puis réessayez. "
"Unfortunately it is not possible to use Amazon Pay for this order, please choose another payment method.","Nous sommes désolés, mais vous ne pouvez pas utiliser Amazon Pay pour cette commande. Sélectionnez un autre mode paiement."
"There has been a problem with the selected payment method on your Amazon account. Please choose another one.","Nous sommes désolés, mais un problème s'est produit avec le mode de paiement sélectionné sur votre compte Amazon. Sélectionnez un autre mode paiement."
"The currency selected is not supported by Amazon Pay","La devise sélectionnée n'est pas prise en charge par Amazon Pay sur ce site."
"Captured amount of %1 online","Montant de %1 saisi en ligne."
"Declined amount of %1 online","La saisie en ligne du montant de %1 a été rejetée."
"Capture declined","Saisie rejetée"
"Capture declined for Order <a href=""%2"">#%1</a>","Saisie rejetée pour la commande <a href=""%2"">#%1</a>"
"Capture pending approval from the payment gateway","Saisie en attente d'approbation du portail de paiement. Veuillez réessayer ultérieurement."
"Could not find the ""multiline_count"" config of the ""street"" Customer address attribute.","Impossible de trouver la configuration multiline_count de l'attribut rue de l'adresse du client."
"Are you an Amazon customer? Pay now with address and payment details stored in your Amazon account.","Vous êtes client Amazon? Payez désormais avec les informations de paiement et les coordonnées stockées dans votre compte Amazon."
"Simulate Payment Scenarios","Simuler des scénarios de paiement"
"Amazon could not process your request.","Amazon Pay n'a pas pu traiter votre demande. Veuillez réessayer."
"Please select a payment method.","Sélectionnez un mode de paiement."
"Your session has expired, please reload the page and try again.","Votre session a expiré. Actualisez la page et réessayez."
"Return to standard checkout","Revenir à la commande standard"
"Amazon Pay was unable to authenticate the payment instrument.  Please try again, or use a different payment method.","Un problème s’est produit avec votre paiement. Votre commande n'a pas été passée et vous n'avez pas été débité."
"The SCA challenge was not completed successfully.  Please try again, or use a different payment method.","Un problème est survenu avec votre moyen de paiement. Pour passer votre commande, essayez un autre moyen de paiement."
"Your transaction with Amazon Pay is currently being validated. Please be aware that we will inform you shortly as needed.","Votre transaction avec Amazon Pay est en cours de validation. Vous serez informe prochainement de son suivi."
"In order to reset your password, please <a href=""%1"">Sign Out</a> and click on “Forgot Your Password?” from the Sign In page","Pour réinitialiser votre mot de passe, veuillez-vous <a href=""%1"">Déconnexion</a> et cliquer sur “Mot de passe oublié?” depuis la page de connexion"
"The selected payment method is not available for this transaction. Please select another one or add a new payment method to the wallet widget.","Le mode de paiement sélectionné n'est pas disponible pour cette transaction. Veuillez en sélectionner un autre ou ajouter un nouveau mode de paiement au widget de portefeuille."
"No payment instrument has been selected for this order, please try to refresh the page or add a new payment instrument in the wallet widget.","Aucun instrument de paiement n'a été sélectionné pour cette commande, veuillez essayer de rafraîchir la page ou d'ajouter un nouvel instrument de paiement dans le widget de portefeuille."
"The order failed due to a technical error, please select another payment method or contact our support.","La commande a échoué en raison d'une erreur technique, veuillez sélectionner un autre mode de paiement ou contacter notre support."
"Payment declined for your order #%incrementId","Paiement refusé pour votre commande #%incrementId"
"Valued customer","Cher(e) Client(e)"
"Unfortunately Amazon Pay declined the payment for your order in our online shop %storeName, please try placing the order again with another payment method.","Malheureusement, Amazon Pay a refusé le paiement de votre commande dans notre boutique en ligne %storeName, veuillez réessayer de passer la commande avec un autre moyen de paiement."
"Kind regards","Bien Cordialement"
"Resetting the Amazon Pay configuration. After the page reloaded, click Start configuration/registration.","Réinitialisation de la configuration d'Amazon Pay. Une fois la page rechargée, cliquez sur Démarrer la configuration/l'enregistrement."
"Alexa Delivery Notifications","Notifications de livraison Alexa"
"Enabled","Activé",
"Disabled","Désactivé"
"Private Key","Clé privée"
"Upload options","Options de chargement"
".pem file","fichier .pem"
"copy & paste","copier-coller"
"The Private Key you've entered isn't valid. Make sure it includes the Private Key's header and footer, then try again.","La clé privée que vous avez saisie n'est pas valide. Vérifiez que vous avez inclus l'en-tête et le pied de page de la clé privée, puis réessayez."
"The Public Key ID you've entered isn't valid. Make sure it holds 24 characters and try again.","Le Public Key ID que vous avez saisi n'est pas valide. Assurez-vous qu'il contient 24caractères, puis réessayez."
"Sometimes referred to as "Client ID" in Seller Central.","Parfois appelé Identifiant du client dans Seller Central."
"The Merchant ID you've entered isn't valid. Make sure it contains 13 to 14 characters, then try again.","L'ID marchand que vous avez saisi n'est pas valide. Assurez-vous qu'il contient 13 à 14caractères, puis réessayez."
"-- Choose region --","-- Sélectionnez la région --"
"To enable instant payment notifications (IPN), go to Seller Central, click Settings > Integration Settings > Edit, and
then paste the above URL in the Merchant URL field, and click Save.","Pour activer les notifications de paiement instantané (IPN), accédez à Seller Central, cliquez sur Paramètres > Paramètres d'intégration > Modifier, puis collez l'URL ci-dessus dans le champ URL du vendeur, puis cliquez sur Enregistrer."
"Multi-currency Funtionality","Fonction multidevise"
"Amazon Sign-in","Identifiez-vous avec Amazon"
"Note: If you've disabled both, Amazon Sign-in and Magento Guest Checkout, your customers will only be able to use Amazon Pay after they signed in with a Magento account.","Remarque: Si vous avez désactivé à la fois Amazon Sign-in et  Magento Guest Checkout, vos clients ne pourront utiliser Amazon Pay qu'après s'être connectés avec un compte Magento."
"Immediate","Immédiat"
"Automatic","Automatique"
"Shipping Restrictions","Restrictions d'expédition"
"Amazon Pay button on product page","Bouton Amazon Pay sur la page du produit"
"Amazon Pay in final checkout step","Amazon Pay lors de la dernière étape du paiement"
"Note: When enabled, Amazon Pay will appear in the list of available payment methods at the final checkout step.","Remarque: Lorsque cette option est activée, Amazon Pay apparaîtra dans la liste des moyens de paiement disponibles lors de la dernière étape du paiement."
"Sort Order","Trier les commandes"
"Store Name","Nom de la boutique"
"Restricted Product Categories","Catégories de produits soumis à restrictions"
"Restrict Post Office Boxes","Limiter les boîtes postales"
"Note: When enabled, post office box addresses in US, CA, UK, FR, DE, ES, PT, IT, AU aren't accepted.","Remarque: Lorsque cette option est activée, les adresses des boîtes postales aux États-Unis, au Canada, au Royaume-Uni, en France, en Allemagne, en Espagne, au Portugal, en Italie et en Australie ne sont pas acceptées."
"Restrict Packstations","Limiter les Packstations"
"Note: Packstations are only available in Germany. When enabled, Packstation addresses aren't accepted.","Remarque: Les Packstations sont uniquement disponibles en Allemagne. Lorsque cette option est activée, les adresses Packstation ne sont pas acceptées."
"Only change this value if required. Improper modifications can break the integration. After your customer chose their payment method and delivery address, they will be redirected to this URL. Don't enter a leading slash.","Modifiez cette valeur uniquement si nécessaire. Des modifications incorrectes peuvent casser l'intégration. Une fois que votre client a choisi son moyen de paiement et son adresse de livraison, il est redirigé vers cette URL. N'entrez pas de barre oblique."
"Checkout Result URL Path","Chemin de l'URL de résultat du paiement"
"Only change this value if required. Improper modifications can break the integration. After the order is complete, you  customer will be redirected to this URL. Don't enter a leading slash.","Modifiez cette valeur uniquement si nécessaire. Des modifications incorrectes peuvent casser l'intégration. Une fois la commande passée, votre client est redirigé vers cette URL. N'entrez pas de barre oblique."
"Enter IPs seperated by commas. Note: The Amazon Pay button will only be visible to clients with corresponding IP addresses.","Saisissez des adresses IP séparées par des virgules. Remarque: Le bouton Amazon Pay sera visible uniquement par les clients à qui appartiennent ces adresses IP."
"Developer Logs","Journaux des développeurs"
"Alexa Log","Journal Alexa"
"IPN Log","Journal IPN"
"Client Log","Journal du client"
"No logs available","Aucun journal disponible"
"Something went wrong. Choose another payment method for checkout and try again.","Un problème s'est produit. Sélectionnez un autre moyen de paiement, puis réessayez."
"Failed to complete the Amazon Pay checkout","Impossible de finaliser le paiement Amazon Pay"
"Something went wrong. Choose another payment method for checkout and try again.","Un problème s'est produit. Sélectionnez un autre moyen de paiement, puis réessayez."
"Charge declined for order #%1","Saisie refusée pour la commande n°%1"
"If you experience consistent errors during key transfer, click Amazon Pay for Magento 2 for detailed instructions.","Si vous rencontrez des erreurs récurrentes lors du transfert de la clé, cliquez sur Amazon Pay pour Magento 2 pour obtenir des instructions détaillées."
"Failed to enable Amazon Pay","Impossible d'activer Amazon Pay"
"The refund through Amazon Pay was successful.","Le remboursement via Amazon Pay a été effectué avec succès."
"Captured amount of %1.","Montant saisi de %1."
"Authorized amount of %1.","Montant autorisé de %1."
"Amazon Pay has received shipping information for carrier %1 with tracking number %2.","Amazon Pay a reçu des informations d'expédition pour le transporteur %1 avec le numéro de suivi %2."
"Yes","Activé",
"No","Désactivé"
"Enable a familiar, fast checkout for hundreds of millions of active Amazon customers globally.","Offrez une solution de paiement rapide et connue à des centaines de millions de clients Amazon actifs dans le monde entier."
"Amazon Pay for Magento","Amazon Pay pour Magento"
"An unsupported currency is currently selected. Please review our configuration guide.","La devise de base définie pour votre boutique n'est pas prise en charge. Pour plus d'informations, consultez Amazon Pay pour Magento 2"
"In order to enable automatic account configuration using Amazon's secure key exchange, please turn on secure admin pages in General > Web > Use secure URLs in Admin.","Pour faciliter la configuration et le transfert automatique de vos clés et identifiants de votre compte marchand Amazon Payments vers Magento, activez Use Secure URLs in Admin (Utiliser des URL sécurisées dans Admin) sous Général > Web > Base URLs (secure) (URL de base sécurisées)."
"Reset configuration","Réinitialiser la configuration"
