"Action is not available","アクションが利用可能ではありません。"
"Error processing Amazon Login","Amazon Login時にエラーが発生しました。"
"A shop account for this email address already exists. Please enter your shop accounts password to log in without leaving the shop.","このメールアドレスのショップアカウントが既に存在します。ショップを離れずにショップアカウントのパスワードを入力して下さい。"
"Login with Amazon","Amazonでログイン"
"With Amazon Pay and Login with Amazon, you can easily sign-in and use the shipping and payment information stored in your Amazon account to place an order on this shop. ","Amazon Pay・Login with Amazonを使用して容易にサインインすることができます。<br/>また、Amazonに登録されている配送情報や支払い情報を用いて注文をすることもできます。"
"Securely login into our website using your existing Amazon details.","Amazonアカウントを利用することで、セキュアにログインすることができます。"
"Welcome back!","お帰りなさいませ！"
"Continue as Guest","ゲストとして続ける"
"the email address for your Amazon account is invalid","Amazonアカウントのメールアドレスが不正です。"
"* Required Fields","* 必須項目"
"Password","パスワード"
"Ok","Ok"
"Forgot Your Password?","パスワードを忘れた場合"
"Login with Amazon available in authentication popup","認証用のポップアップ画面から Login with Amazon  を利用することが可能です"
"With Amazon Pay and Login with Amazon, you can easily sign-in","Amazon Pay・Login with Amazonを使用して容易にサインインすることができます。"
"and use the shipping and payment information stored in your Amazon account to place an order on this shop.","また、Amazonに登録されている配送情報や支払い情報を用いて注文をすることもできます。"